Spotify URI,Voter ID,Created,Points Assigned,Comment,Round ID
spotify:track:034W27gGEmpH6f7hDgMlP2,faf071c5961f4195a9575494a1bed466,2022-11-10T19:15:41Z,1,"Is it nothing to you, all ye that pass by? behold, and see if there be any sorrow like unto my sorrow, which is done unto me, wherewith the LORD hath afflicted me in the day of his fierce anger. From above hath he sent fire into my bones, and it prevaileth against them: he hath spread a net for my feet, he hath turned me back: he hath made me desolate and faint all the day.",54a6db0301264f86b626df82ca0a3274
spotify:track:5NSR9uH0YeDo67gMiEv13n,faf071c5961f4195a9575494a1bed466,2022-11-10T19:15:41Z,4,"Arise, cry out in the night: in the beginning of the watches pour out thine heart like water before the face of the Lord: lift up thy hands toward him for the life of thy young children, that faint for hunger in the top of every street.",54a6db0301264f86b626df82ca0a3274
spotify:track:02Mkz55cCAHabqlxwSP6X0,faf071c5961f4195a9575494a1bed466,2022-11-10T19:15:41Z,1,"What thing shall I take to witness for thee? what thing shall I liken to thee, O daughter of Jerusalem? what shall I equal to thee, that I may comfort thee, O virgin daughter of Zion? for thy breach is great like the sea: who can heal thee? Thy prophets have seen vain and foolish things for thee: and they have not discovered thine iniquity, to turn away thy captivity; but have seen for thee false burdens and causes of banishment.",54a6db0301264f86b626df82ca0a3274
spotify:track:4gTMIyJJlSuB5BOhbMri6B,faf071c5961f4195a9575494a1bed466,2022-11-10T19:15:41Z,1,"He hath filled me with bitterness, he hath made me drunken with wormwood. He hath also broken my teeth with gravel stones, he hath covered me with ashes. And thou hast removed my soul far off from peace: I forgat prosperity.",54a6db0301264f86b626df82ca0a3274
spotify:track:1IUSye7pjU0k6BJQBkGM0K,faf071c5961f4195a9575494a1bed466,2022-11-10T19:15:41Z,1,"For these things I weep; mine eye, mine eye runneth down with water, because the comforter that should relieve my soul is far from me: my children are desolate, because the enemy prevailed. Zion spreadeth forth her hands, and there is none to comfort her: the LORD hath commanded concerning Jacob, that his adversaries should be round about him: Jerusalem is as a menstruous woman among them.",54a6db0301264f86b626df82ca0a3274
spotify:track:1c4h8DHr9QOcWxIGTq3Wsn,faf071c5961f4195a9575494a1bed466,2022-11-10T19:15:41Z,1,"He was unto me as a bear lying in wait, and as a lion in secret places. He hath turned aside my ways, and pulled me in pieces: he hath made me desolate. He hath bent his bow, and set me as a mark for the arrow. He hath caused the arrows of his quiver to enter into my reins.",54a6db0301264f86b626df82ca0a3274
spotify:track:0OMABUEXY1g4ncGGYmF12g,faf071c5961f4195a9575494a1bed466,2022-11-10T19:15:41Z,1,"Behold, O LORD; for I am in distress: my bowels are troubled; mine heart is turned within me; for I have grievously rebelled: abroad the sword bereaveth, at home there is as death.",54a6db0301264f86b626df82ca0a3274
spotify:track:0mlAOSILGRys2IbvyOT5VJ,faf071c5961f4195a9575494a1bed466,2022-11-10T19:15:41Z,0,"He hath set me in dark places, as they that be dead of old. He hath hedged me about, that I cannot get out: he hath made my chain heavy. Also when I cry and shout, he shutteth out my prayer.",54a6db0301264f86b626df82ca0a3274
spotify:track:6wAFvJPpTZVirBKGZ4EnMW,faf071c5961f4195a9575494a1bed466,2022-11-10T19:15:41Z,2,"The ways of Zion do mourn, because none come to the solemn feasts: all her gates are desolate: her priests sigh, her virgins are afflicted, and she is in bitterness. Her adversaries are the chief, her enemies prosper; for the LORD hath afflicted her for the multitude of her transgressions: her children are gone into captivity before the enemy.",54a6db0301264f86b626df82ca0a3274
spotify:track:1c4h8DHr9QOcWxIGTq3Wsn,3632dbc7e55d4e3380f090997355e7ae,2022-11-11T03:15:22Z,1,Fits the category nicely. ,54a6db0301264f86b626df82ca0a3274
spotify:track:02Mkz55cCAHabqlxwSP6X0,3632dbc7e55d4e3380f090997355e7ae,2022-11-11T03:15:22Z,1,Truly punishing. ,54a6db0301264f86b626df82ca0a3274
spotify:track:034W27gGEmpH6f7hDgMlP2,3632dbc7e55d4e3380f090997355e7ae,2022-11-11T03:15:22Z,2,"Mom keeps giving me opportunities to listen to this song, secretly hoping I will start to like it. Don’t tell her, but it might be working. ",54a6db0301264f86b626df82ca0a3274
spotify:track:0mlAOSILGRys2IbvyOT5VJ,3632dbc7e55d4e3380f090997355e7ae,2022-11-11T03:15:22Z,0,I don’t feel like I’m being punished when I listen to this. ,54a6db0301264f86b626df82ca0a3274
spotify:track:0OMABUEXY1g4ncGGYmF12g,3632dbc7e55d4e3380f090997355e7ae,2022-11-11T03:15:22Z,3,"This is delightful. I don’t feel tortured by it, but have no doubt that many others would. ",54a6db0301264f86b626df82ca0a3274
spotify:track:1IUSye7pjU0k6BJQBkGM0K,3632dbc7e55d4e3380f090997355e7ae,2022-11-11T03:15:22Z,3,This fits the category perhaps too well. ,54a6db0301264f86b626df82ca0a3274
spotify:track:5gFmFd4WfrOZHo0Exji2nm,3632dbc7e55d4e3380f090997355e7ae,2022-11-11T03:15:22Z,2,This is fantastic. Extra point for being over nine minutes. ,54a6db0301264f86b626df82ca0a3274
spotify:track:5NSR9uH0YeDo67gMiEv13n,3632dbc7e55d4e3380f090997355e7ae,2022-11-11T03:15:22Z,0,I like this song too much to vote for it. ,54a6db0301264f86b626df82ca0a3274
spotify:track:6wAFvJPpTZVirBKGZ4EnMW,3632dbc7e55d4e3380f090997355e7ae,2022-11-11T03:15:22Z,0,OOP: out of points. Which I sent to even more annoying submissions. ,54a6db0301264f86b626df82ca0a3274
spotify:track:034W27gGEmpH6f7hDgMlP2,dd77ebc3b461474daa9e9b43c4377cd5,2022-11-11T04:38:37Z,2,i literally refuse to listen to this song and for that it deserves many a point. but i also can't bring myself to give this more than 2 points on a moral basis,54a6db0301264f86b626df82ca0a3274
spotify:track:4gTMIyJJlSuB5BOhbMri6B,dd77ebc3b461474daa9e9b43c4377cd5,2022-11-11T04:38:37Z,0,Actually evil,54a6db0301264f86b626df82ca0a3274
spotify:track:0OMABUEXY1g4ncGGYmF12g,dd77ebc3b461474daa9e9b43c4377cd5,2022-11-11T04:38:37Z,0,up until now where i actually looked them up i thought the aquabats were some educational children's television programme band so learning that they're an actual band leaves me both disgusted and in awe,54a6db0301264f86b626df82ca0a3274
spotify:track:5gFmFd4WfrOZHo0Exji2nm,dd77ebc3b461474daa9e9b43c4377cd5,2022-11-11T04:38:37Z,1,absolutely no reason for this song to be as long as it is ,54a6db0301264f86b626df82ca0a3274
spotify:track:0mlAOSILGRys2IbvyOT5VJ,dd77ebc3b461474daa9e9b43c4377cd5,2022-11-11T04:38:37Z,1,this is fine like it's too poppy for me to ordinarily give it points but. Given the circumstances ,54a6db0301264f86b626df82ca0a3274
spotify:track:5NSR9uH0YeDo67gMiEv13n,dd77ebc3b461474daa9e9b43c4377cd5,2022-11-11T04:38:37Z,4,shauna hyperfixation simulator ,54a6db0301264f86b626df82ca0a3274
spotify:track:6wAFvJPpTZVirBKGZ4EnMW,dd77ebc3b461474daa9e9b43c4377cd5,2022-11-11T04:38:37Z,2,ordinarily i am a casual hater of taylor swift but this is a sweet respite ,54a6db0301264f86b626df82ca0a3274
spotify:track:02Mkz55cCAHabqlxwSP6X0,dd77ebc3b461474daa9e9b43c4377cd5,2022-11-11T04:38:37Z,0,Who . Responsible ,54a6db0301264f86b626df82ca0a3274
spotify:track:1IUSye7pjU0k6BJQBkGM0K,dd77ebc3b461474daa9e9b43c4377cd5,2022-11-11T04:38:37Z,2,these points are less for the song and more for the entrancingly hairy chest of the man on the album cover ,54a6db0301264f86b626df82ca0a3274
spotify:track:4gTMIyJJlSuB5BOhbMri6B,53954cca040b418fbc8f42043c323187,2022-11-12T01:56:49Z,2,Not too bad actually. Fun organ,54a6db0301264f86b626df82ca0a3274
spotify:track:02Mkz55cCAHabqlxwSP6X0,53954cca040b418fbc8f42043c323187,2022-11-12T01:56:49Z,1,Laurie Anderson’s final evolution,54a6db0301264f86b626df82ca0a3274
spotify:track:034W27gGEmpH6f7hDgMlP2,53954cca040b418fbc8f42043c323187,2022-11-12T01:56:49Z,3,I did not like this one bit. Here’s three points,54a6db0301264f86b626df82ca0a3274
spotify:track:6wAFvJPpTZVirBKGZ4EnMW,53954cca040b418fbc8f42043c323187,2022-11-12T01:56:49Z,1,I think this is the newest song to ever be on music league,54a6db0301264f86b626df82ca0a3274
spotify:track:5NSR9uH0YeDo67gMiEv13n,53954cca040b418fbc8f42043c323187,2022-11-12T01:56:49Z,1,Really the only offensive part of this is the length,54a6db0301264f86b626df82ca0a3274
spotify:track:5gFmFd4WfrOZHo0Exji2nm,53954cca040b418fbc8f42043c323187,2022-11-12T01:56:49Z,2,Neil Peart ist ein großartiger Trommler!!,54a6db0301264f86b626df82ca0a3274
spotify:track:1c4h8DHr9QOcWxIGTq3Wsn,53954cca040b418fbc8f42043c323187,2022-11-12T01:56:49Z,1,"You said stop
I'm already dead
Dead, 🅳🅴🅰🅳,̴͎̤͈̪̝̝̹̗̻͌̉̒͛͗̒̐͂̈́͝ ̵̛̱̗̳͉͎̌̋͋̀̾͘͠d̸̝͓̬͈̭̯̞̮̋͜ͅe̶͉̤̱̹͉͉̗̲̱̫̅͂ȃ̷̺̞̙̫̪̆̀̽́͝d̸̢͎̱̜̞̖̪̩̈̾͗͌̉͗͑̍ͅ,̷̝̤̦̀̾̍̈ ̷͖͔̳̤̮̏̌̕d̷̰͈̓͐͠e̴̟͂a̴̧̰̦͔̥͂̓̓d̶̡̛̹͇̞͇̩̘̮̒̐͒̀̈̍͂̀͒ͅ,̵͉͚̺̲̖̟̣͛̌ͅ ̵̡̛͖̙̹̩̦̼͗̑̓d̸̥̱̝̞̘̳̤͍̿ͅe̵͎̟̹͉̜̝̟̓͌̽͘͝ͅą̶̨̺͙͚̀d̵̨̨̛͔̭̦̱̥̀̒̊͑",54a6db0301264f86b626df82ca0a3274
spotify:track:0mlAOSILGRys2IbvyOT5VJ,53954cca040b418fbc8f42043c323187,2022-11-12T01:56:49Z,1,This is what the cool kids coffee shops in Albania would play. Every. Single. Day,54a6db0301264f86b626df82ca0a3274
spotify:track:02Mkz55cCAHabqlxwSP6X0,d4d873667860433b9e0feec8ef6f1b3d,2022-11-12T03:45:35Z,0,"The beginning has pretty groovy music. Mercy me, what happens later?",54a6db0301264f86b626df82ca0a3274
spotify:track:0mlAOSILGRys2IbvyOT5VJ,d4d873667860433b9e0feec8ef6f1b3d,2022-11-12T03:45:35Z,4,I like this one quite a bit. ,54a6db0301264f86b626df82ca0a3274
spotify:track:0OMABUEXY1g4ncGGYmF12g,d4d873667860433b9e0feec8ef6f1b3d,2022-11-12T03:45:35Z,1,"A bop. Obnoxious but fun. Speaking of chicken, I do love me some KFC Original Recipe. ",54a6db0301264f86b626df82ca0a3274
spotify:track:1c4h8DHr9QOcWxIGTq3Wsn,d4d873667860433b9e0feec8ef6f1b3d,2022-11-12T03:45:35Z,0,The laws of nahture? I like this song okay until he gets all screamy at the end and tries to yak up a hairball. ,54a6db0301264f86b626df82ca0a3274
spotify:track:1IUSye7pjU0k6BJQBkGM0K,d4d873667860433b9e0feec8ef6f1b3d,2022-11-12T03:45:35Z,0,I just cannot even with this guy’s voice. ,54a6db0301264f86b626df82ca0a3274
spotify:track:4gTMIyJJlSuB5BOhbMri6B,d4d873667860433b9e0feec8ef6f1b3d,2022-11-12T03:45:35Z,3,"I rather like this one, even though it gets weird in the middle. ",54a6db0301264f86b626df82ca0a3274
spotify:track:5gFmFd4WfrOZHo0Exji2nm,d4d873667860433b9e0feec8ef6f1b3d,2022-11-12T03:45:35Z,2,"I think this drumming and xylophoning and cow-belling and the jazzy stuff at the end is, overall, pretty sweet. Reminds me of Jared's marching-band drumline, TBH. ",54a6db0301264f86b626df82ca0a3274
spotify:track:5NSR9uH0YeDo67gMiEv13n,d4d873667860433b9e0feec8ef6f1b3d,2022-11-12T03:45:35Z,2,I like this one. Nice melody. No idea what they're saying. ,54a6db0301264f86b626df82ca0a3274
spotify:track:6wAFvJPpTZVirBKGZ4EnMW,d4d873667860433b9e0feec8ef6f1b3d,2022-11-12T03:45:35Z,0,"The stitching herself to him metaphor geeks me out a bit. Not a bad song, tho. ",54a6db0301264f86b626df82ca0a3274
spotify:track:4gTMIyJJlSuB5BOhbMri6B,2e01487d2bb343f58250b8359dbd8790,2022-11-12T16:55:41Z,1,I’d bop my head to it,54a6db0301264f86b626df82ca0a3274
spotify:track:02Mkz55cCAHabqlxwSP6X0,2e01487d2bb343f58250b8359dbd8790,2022-11-12T16:55:41Z,1,I’d like this more if the autotune would cool it,54a6db0301264f86b626df82ca0a3274
spotify:track:034W27gGEmpH6f7hDgMlP2,2e01487d2bb343f58250b8359dbd8790,2022-11-12T16:55:41Z,1,A lesser version of a great song,54a6db0301264f86b626df82ca0a3274
spotify:track:0mlAOSILGRys2IbvyOT5VJ,2e01487d2bb343f58250b8359dbd8790,2022-11-12T16:55:41Z,2,I vibed with the Demi parts,54a6db0301264f86b626df82ca0a3274
spotify:track:0OMABUEXY1g4ncGGYmF12g,2e01487d2bb343f58250b8359dbd8790,2022-11-12T16:55:41Z,3,"The nostalgia :,)",54a6db0301264f86b626df82ca0a3274
spotify:track:1c4h8DHr9QOcWxIGTq3Wsn,2e01487d2bb343f58250b8359dbd8790,2022-11-12T16:55:41Z,3,My fav song from the list even though I’d prefer the ending to go another route,54a6db0301264f86b626df82ca0a3274
spotify:track:1IUSye7pjU0k6BJQBkGM0K,2e01487d2bb343f58250b8359dbd8790,2022-11-12T16:55:41Z,1,Obligatory vulf point,54a6db0301264f86b626df82ca0a3274
spotify:track:5gFmFd4WfrOZHo0Exji2nm,2e01487d2bb343f58250b8359dbd8790,2022-11-12T16:55:41Z,0,They sure are talented,54a6db0301264f86b626df82ca0a3274
