ID,Created,Name,Description,Playlist URL
1a12136ef8f2408ba28892f7ed0c6ed9,2022-09-26T19:28:08Z,"Tyger, tyger, burning bright",Songs that mention a beast. you know. a critter. a creacher. a little guy,https://open.spotify.com/playlist/4WfPmtCPaRJXgGRjyscT8Q
ef0474baa82f4dc3b00c8723dc407c70,2022-09-26T19:28:12Z,White Boy Gospel,"Songs with religious reference (not just the use of ""oh lord"" or ""omg."" Has to be a proper reference). Does not have to be by a white man I just like the genre of what I call White Boy Gospel (Paul Simon, Talking Heads, Neil Diamond, etc.) so I made it the title",https://open.spotify.com/playlist/45GadvCDM5vbD5lw2TOH2A
67e804c812c3451d9f0a7278666f6a62,2022-09-26T19:28:13Z,Bilingual ,Songs with at least two languages,https://open.spotify.com/playlist/5D28mlsvx6vi3Iupl1ES0v
1979f5b22f7046beb6200158766c71ce,2022-09-26T19:31:47Z,Below average,Songs from a country with a population of under 40 million (40 mil is the global avg. pop. for a country),https://open.spotify.com/playlist/73MOnTXbuAYegXbGkNmq3m
e0b6cd03833f4072aa5d1468f8d311db,2022-09-26T19:31:47Z,Born to be a star,"Songs written or recorded for movies or TV shows. Covers or previously recorded songs are okay, but the version you submit must have been done explicitly for a movie/show.",https://open.spotify.com/playlist/6347Gxscm8ZnE7xHeqMpvk
7145e14a2b2c462b9f6264f9ed38f94f,2022-09-26T19:31:48Z,Finders Keepers,Songs that use found audio or samples (bits of other songs or non-musical audio),https://open.spotify.com/playlist/3YSUV8gjDagiXCcMqoobQc
