Spotify URI,Voter ID,Created,Points Assigned,Comment,Round ID
spotify:track:04N3JVWCZFG4z7wWDMTEQ2,faf071c5961f4195a9575494a1bed466,2022-06-13T18:23:12Z,5,,54886398ac7a4338bbe6f7840f15414d
spotify:track:0Z97JEXHiXXHpc4blFKQc6,faf071c5961f4195a9575494a1bed466,2022-06-13T18:23:12Z,1,,54886398ac7a4338bbe6f7840f15414d
spotify:track:29Xos5ZuBRnX4gynKG4g4I,faf071c5961f4195a9575494a1bed466,2022-06-13T18:23:12Z,2,,54886398ac7a4338bbe6f7840f15414d
spotify:track:2skrGe8jzQM6PeGGFV1tjP,faf071c5961f4195a9575494a1bed466,2022-06-13T18:23:12Z,1,,54886398ac7a4338bbe6f7840f15414d
spotify:track:7pBoi7yWCPzn3UjeMsGKg6,faf071c5961f4195a9575494a1bed466,2022-06-13T18:23:12Z,1,,54886398ac7a4338bbe6f7840f15414d
spotify:track:04N3JVWCZFG4z7wWDMTEQ2,dd77ebc3b461474daa9e9b43c4377cd5,2022-06-14T00:31:35Z,1,,54886398ac7a4338bbe6f7840f15414d
spotify:track:0Z97JEXHiXXHpc4blFKQc6,dd77ebc3b461474daa9e9b43c4377cd5,2022-06-14T00:31:35Z,1,,54886398ac7a4338bbe6f7840f15414d
spotify:track:5JgB38WStxku1uvo30tFsn,dd77ebc3b461474daa9e9b43c4377cd5,2022-06-14T00:31:35Z,3,,54886398ac7a4338bbe6f7840f15414d
spotify:track:5X3EW7MVbyEDG4FAPpmDv2,dd77ebc3b461474daa9e9b43c4377cd5,2022-06-14T00:31:35Z,1,,54886398ac7a4338bbe6f7840f15414d
spotify:track:7pBoi7yWCPzn3UjeMsGKg6,dd77ebc3b461474daa9e9b43c4377cd5,2022-06-14T00:31:35Z,4,,54886398ac7a4338bbe6f7840f15414d
spotify:track:04N3JVWCZFG4z7wWDMTEQ2,3632dbc7e55d4e3380f090997355e7ae,2022-06-14T02:44:34Z,1,This song is interesting for so many reasons,54886398ac7a4338bbe6f7840f15414d
spotify:track:0Z97JEXHiXXHpc4blFKQc6,3632dbc7e55d4e3380f090997355e7ae,2022-06-14T02:44:34Z,2,I nearly submitted this one myself. ,54886398ac7a4338bbe6f7840f15414d
spotify:track:2skrGe8jzQM6PeGGFV1tjP,3632dbc7e55d4e3380f090997355e7ae,2022-06-14T02:44:34Z,0,"This song deserved points. I flipped a coin, and this one lost. ",54886398ac7a4338bbe6f7840f15414d
spotify:track:53TPuvCNhoqQhW9BsaOC3w,3632dbc7e55d4e3380f090997355e7ae,2022-06-14T02:44:34Z,0,Another one that  I wanted to give points. I owe you!,54886398ac7a4338bbe6f7840f15414d
spotify:track:5JgB38WStxku1uvo30tFsn,3632dbc7e55d4e3380f090997355e7ae,2022-06-14T02:44:34Z,1,I think I’ve heard this one before. And I’ll probably be hearing it again!,54886398ac7a4338bbe6f7840f15414d
spotify:track:5Q5BS5b6c3rpp7itc60ahm,3632dbc7e55d4e3380f090997355e7ae,2022-06-14T02:44:34Z,2,"Fun song, even if it is about a bad, bad man!",54886398ac7a4338bbe6f7840f15414d
spotify:track:5X3EW7MVbyEDG4FAPpmDv2,3632dbc7e55d4e3380f090997355e7ae,2022-06-14T02:44:34Z,2,Thar she quacks!,54886398ac7a4338bbe6f7840f15414d
spotify:track:74sUbOF9Zm8LdGUJjxleTl,3632dbc7e55d4e3380f090997355e7ae,2022-06-14T02:44:34Z,1,Classic,54886398ac7a4338bbe6f7840f15414d
spotify:track:7pBoi7yWCPzn3UjeMsGKg6,3632dbc7e55d4e3380f090997355e7ae,2022-06-14T02:44:34Z,1,So I watched the music video to this. I am still sitting here in disbelief about that runner. Cool song. ,54886398ac7a4338bbe6f7840f15414d
spotify:track:04N3JVWCZFG4z7wWDMTEQ2,2e01487d2bb343f58250b8359dbd8790,2022-06-14T05:20:17Z,1,Makes ya think,54886398ac7a4338bbe6f7840f15414d
spotify:track:0Z97JEXHiXXHpc4blFKQc6,2e01487d2bb343f58250b8359dbd8790,2022-06-14T05:20:17Z,3,"Perfect music, perfect narrative",54886398ac7a4338bbe6f7840f15414d
spotify:track:29Xos5ZuBRnX4gynKG4g4I,2e01487d2bb343f58250b8359dbd8790,2022-06-14T05:20:17Z,2,I support caring for the local wildlife as your own,54886398ac7a4338bbe6f7840f15414d
spotify:track:2skrGe8jzQM6PeGGFV1tjP,2e01487d2bb343f58250b8359dbd8790,2022-06-14T05:20:17Z,1,Wow real sad but I vibed ,54886398ac7a4338bbe6f7840f15414d
spotify:track:5JgB38WStxku1uvo30tFsn,2e01487d2bb343f58250b8359dbd8790,2022-06-14T05:20:17Z,0,"I cannot, in good conscience, offer a point to these men",54886398ac7a4338bbe6f7840f15414d
spotify:track:5X3EW7MVbyEDG4FAPpmDv2,2e01487d2bb343f58250b8359dbd8790,2022-06-14T05:20:17Z,3,I had to redistribute my points because I loved this song so much,54886398ac7a4338bbe6f7840f15414d
spotify:track:7pBoi7yWCPzn3UjeMsGKg6,2e01487d2bb343f58250b8359dbd8790,2022-06-14T05:20:17Z,0,Makes ya think (I’m sorry but I’m out of points so here’s a point from my heart),54886398ac7a4338bbe6f7840f15414d
