ID,Created,Name,Description,Playlist URL
54886398ac7a4338bbe6f7840f15414d,2022-06-11T18:11:50Z,Narrative Songs,Songs that tell a story,https://open.spotify.com/playlist/5H9QKtB6P8lMVRi1zpi6J5
6603ed0f02cb4839aef2ea0c57cba39b,2022-06-11T18:11:50Z,Numbers,Songs with a number in the title,https://open.spotify.com/playlist/5diMVHICCa1Mh8TguIxdFW
78f31eea35ae4909b94cca957cb80a98,2022-06-11T18:11:50Z,Sea Creatures,Songs that mention a sea creature,https://open.spotify.com/playlist/3UlKdLonyyMMvgJzsh9CE1
979db046fe8a47e5b400c4fe7a5f6cf5,2022-06-11T18:11:51Z,Places,Songs with a geographical location in the title,https://open.spotify.com/playlist/5T4hG6tXujjaPO8m6ME1hn
f6b2fedbc69a4823a1286bccef77bb31,2022-06-11T18:11:51Z,Songs that would annoy Brian,,https://open.spotify.com/playlist/4ly0SlQdf7KJpNaoUm0dix
fefb55b6aded4f01b551bdf4fa3cd3df,2022-06-11T18:11:51Z,Confessions,Songs that might be a confession of a crime,https://open.spotify.com/playlist/1ZOkSuYtYo81ElVn5Wl759
