ID,Created,Name,Description,Playlist URL
a910dd6b5392482381c1106f7897697a,2023-02-02T16:12:55Z,In-N-Out,Songs with cool intros and/or outros.,https://open.spotify.com/playlist/1Qtk6qFaFmSydEAWRTKxBK
8e59ebc6ab9845b89694c4a7e7b04d3d,2023-02-02T16:12:56Z,Rhythm Section Want Ad,"The percussion in this song is done by drum machine(s), not by drum human(s).",https://open.spotify.com/playlist/7tpfnQOq8jr8ctkSLM33qI
abbca9215742489187a4d4b2a6be0f48,2023-02-02T16:12:56Z,Nobel in Literature,"Bare your soul by submitting a song where you think the lyrics are fantastic poetry. For everyone's ease in judging, song submissions are ONLY IN ENGLISH.",https://open.spotify.com/playlist/3GiAcfNmrbKd0QNZYxrzXh
96bf242823724273a10281837f5541e0,2023-02-02T16:12:56Z,Avoid Certain Death,"The scenario: you've magnanimously agreed to drive Shauna to the airport at 4 am. You need music to stay awake, but if you play anything that causes Shauna to have a conniption because it's ""too early for that"" you might die in a different way. So you need to pick a soothing, yet interesting song.",https://open.spotify.com/playlist/4fLCTgjX0iQRvs7ppu2UrR
7b8a59e0825e41b39dd9d36a38157c1f,2023-02-02T16:12:57Z,Zoomies,This song can be anything with a fast tempo! BPM cutoff left to your personal judgment.,https://open.spotify.com/playlist/1FczmNTqzCNl3N5ME6amZk
bd45d3ad6ef040938dbd635d31f68b2f,2023-02-02T16:12:57Z,Bird is the Word,"This song mentions birds, either a particular kind of bird, birds in general, or a reference to flying, soaring, eggs, or feathers.",https://open.spotify.com/playlist/5dXVZ2hBv8WKgHtqxFsQMV
