Spotify URI,Voter ID,Created,Points Assigned,Comment,Round ID
spotify:track:2tJeoAnno3JOGTIpXg1Wp3,faf071c5961f4195a9575494a1bed466,2023-02-10T19:22:26Z,1,"Hey it's me, I'm angry and young.

Most variety in intro/outro of any song here... But also the longest!",a910dd6b5392482381c1106f7897697a
spotify:track:30IC8IrryMmUW660TmvzYM,faf071c5961f4195a9575494a1bed466,2023-02-10T19:22:26Z,0,I really digged this song. Even though it felt a little like a super-posi musical number.,a910dd6b5392482381c1106f7897697a
spotify:track:32RQAVokFfmkZSSzyj5MRO,faf071c5961f4195a9575494a1bed466,2023-02-10T19:22:26Z,1,"Oooooh that guitar. The guitar sounds like the album cover, if that makes sense.",a910dd6b5392482381c1106f7897697a
spotify:track:5eZQXNHIGcIyCWMWI3BalC,faf071c5961f4195a9575494a1bed466,2023-02-10T19:22:26Z,0,"A fun little groove that got me to move (largely thanks to the bass). 

Tbh if you had just told me this was a jazz record by one of the old greats, I wouldn't have thought the piano is ""bad"". Like I didn't even notice it was intentionally ""bad"" on my first listen. But that probably speaks more towards my musicality than anything. When I finally got it, I laughed and laughed.",a910dd6b5392482381c1106f7897697a
spotify:track:6KEWtSOGKpIXGw6l1uJgsR,faf071c5961f4195a9575494a1bed466,2023-02-10T19:22:26Z,4,Tbh this is just one of my favorite songs so I can't not vote for it.,a910dd6b5392482381c1106f7897697a
spotify:track:7b7SlS5pwfilsGA3RoNgCI,faf071c5961f4195a9575494a1bed466,2023-02-10T19:22:26Z,1,"Creeekcrikcreeek
Creeekcrikcreeek
CrickCRIKcreek
CrickCRIKcreek ",a910dd6b5392482381c1106f7897697a
spotify:track:1ipHAtasCy9MnRIj9CXQT8,faf071c5961f4195a9575494a1bed466,2023-02-10T19:22:26Z,3,My favorite intro this round. Also I just liked it overall.,a910dd6b5392482381c1106f7897697a
spotify:track:7pMD8YXl2VTPStgP5g1EuC,faf071c5961f4195a9575494a1bed466,2023-02-10T19:22:26Z,1,"Whoa I love these guys. Is this that ""New Wave"" stuff your family is always going on about?",a910dd6b5392482381c1106f7897697a
spotify:track:7wJOurRSsZZhXkZ99TcCBB,faf071c5961f4195a9575494a1bed466,2023-02-10T19:22:26Z,1,"This point is brought to you by my synth retro/vapor-wave listening phase, which the intro hits well.",a910dd6b5392482381c1106f7897697a
spotify:track:1ipHAtasCy9MnRIj9CXQT8,3632dbc7e55d4e3380f090997355e7ae,2023-02-12T06:41:08Z,1,"So this is what music sounds like in Rochester now, eh?",a910dd6b5392482381c1106f7897697a
