ID,Created,Name,Description,Playlist URL
072d0be9e43f488687579bf4a4afee3c,2023-07-01T12:17:49Z,Beginning,,https://open.spotify.com/playlist/63MQ9zrExSNBVQwGe03WMt
a6927c69bf614a6e8ec378058a66ee04,2023-07-01T12:17:49Z,Chaos,,https://open.spotify.com/playlist/5BtEFXKBDStUnVkR7cXChc
aa6729873c2e4880ad3c47196ca01bc0,2023-07-01T12:17:49Z,Weird Voices,"The hero is beset by strange voices, calling them back home, into temptation, or towards insanity. 

Pick a song with extremely weird/affected vocals.",https://open.spotify.com/playlist/1aOrDtGkJZuW1jkOAxKVoF
fe0f2cf648934fe5baf12ee0248664eb,2023-07-01T12:17:49Z,Independence,,https://open.spotify.com/playlist/71QcXG6z9HOQTxHWE91gSt
4c53b5b093594dd7b6c90546ed523358,2023-07-01T12:17:49Z,Vacation Filler - do not submit/vote ,No submitting. No voting.,https://open.spotify.com/playlist/6fALXft76YUoAadMHRkXBV
e0eb355b1ce5421298a97f95c0476d07,2023-07-01T12:17:49Z,Independence 2.0,,https://open.spotify.com/playlist/34g3rUAALI5GeJLQ5zVtBZ
2a1c04310a1041e9b36475aff54e6ca0,2023-07-01T12:17:49Z,Wasteland,,https://open.spotify.com/playlist/5MFer4clWDcoD57eTyCP56
d398f9873c3a45b4a19022d12e8adcde,2023-08-07T18:30:43Z,Final Boss Battle,"It's the decisive physical clash and philosophical showdown between the Hero and their overwhelmingly powerful Antagonist. There can only be one survivor.

Choose accompaniment for this climactic do-or-die attack!",https://open.spotify.com/playlist/2cZsRrg9kBgel5H2Y0kaio
25fd210e07d846f4a85e418f2d1bf528,2023-08-12T12:07:35Z,Enlightenment ,,https://open.spotify.com/playlist/2ksyMfo8SqcQZ7xQyfgxwa
