Spotify URI,Voter ID,Created,Points Assigned,Comment,Round ID
spotify:track:1Cj2vqUwlJVG27gJrun92y,45aed3c10e8c45c98b4a63680e9da7b7,2022-04-29T02:50:04Z,2,,865a96b9d08349d3972fdfc209031588
spotify:track:1DgMJfHxwxypi3CpC8veV3,45aed3c10e8c45c98b4a63680e9da7b7,2022-04-29T02:50:04Z,1,,865a96b9d08349d3972fdfc209031588
spotify:track:2SWn864dJI5RNyrp3F4Kp1,45aed3c10e8c45c98b4a63680e9da7b7,2022-04-29T02:50:04Z,1,"I like the music, but his voice can’t hold a candle to The King.  ",865a96b9d08349d3972fdfc209031588
spotify:track:41q8ZiB3LZl4HRmmzUTIo4,45aed3c10e8c45c98b4a63680e9da7b7,2022-04-29T02:50:04Z,2,,865a96b9d08349d3972fdfc209031588
spotify:track:62Yu8QL1g9pdbvN4XL9Rah,45aed3c10e8c45c98b4a63680e9da7b7,2022-04-29T02:50:04Z,1,,865a96b9d08349d3972fdfc209031588
spotify:track:7az05FAMuX2E4vWo3gQoPS,45aed3c10e8c45c98b4a63680e9da7b7,2022-04-29T02:50:04Z,1,,865a96b9d08349d3972fdfc209031588
spotify:track:7EIETgqBk63OdvVyIFDNKx,45aed3c10e8c45c98b4a63680e9da7b7,2022-04-29T02:50:04Z,2,,865a96b9d08349d3972fdfc209031588
spotify:track:1DgMJfHxwxypi3CpC8veV3,3632dbc7e55d4e3380f090997355e7ae,2022-04-29T16:06:05Z,2,,865a96b9d08349d3972fdfc209031588
spotify:track:2DMZ7rhk2LZvP6Gy8vthH5,3632dbc7e55d4e3380f090997355e7ae,2022-04-29T16:06:05Z,1,,865a96b9d08349d3972fdfc209031588
spotify:track:2SWn864dJI5RNyrp3F4Kp1,3632dbc7e55d4e3380f090997355e7ae,2022-04-29T16:06:05Z,2,,865a96b9d08349d3972fdfc209031588
spotify:track:41q8ZiB3LZl4HRmmzUTIo4,3632dbc7e55d4e3380f090997355e7ae,2022-04-29T16:06:05Z,4,,865a96b9d08349d3972fdfc209031588
spotify:track:62Yu8QL1g9pdbvN4XL9Rah,3632dbc7e55d4e3380f090997355e7ae,2022-04-29T16:06:05Z,1,,865a96b9d08349d3972fdfc209031588
spotify:track:1Cj2vqUwlJVG27gJrun92y,04c84c21eb3f476a906541faa6818b13,2022-04-29T16:22:37Z,1,,865a96b9d08349d3972fdfc209031588
spotify:track:1DgMJfHxwxypi3CpC8veV3,04c84c21eb3f476a906541faa6818b13,2022-04-29T16:22:37Z,2,,865a96b9d08349d3972fdfc209031588
spotify:track:2es17WUR55CXoDIcKtT0eZ,04c84c21eb3f476a906541faa6818b13,2022-04-29T16:22:37Z,2,,865a96b9d08349d3972fdfc209031588
spotify:track:2SWn864dJI5RNyrp3F4Kp1,04c84c21eb3f476a906541faa6818b13,2022-04-29T16:22:37Z,1,,865a96b9d08349d3972fdfc209031588
spotify:track:41q8ZiB3LZl4HRmmzUTIo4,04c84c21eb3f476a906541faa6818b13,2022-04-29T16:22:37Z,3,,865a96b9d08349d3972fdfc209031588
spotify:track:7EIETgqBk63OdvVyIFDNKx,04c84c21eb3f476a906541faa6818b13,2022-04-29T16:22:37Z,1,,865a96b9d08349d3972fdfc209031588
spotify:track:1Cj2vqUwlJVG27gJrun92y,53954cca040b418fbc8f42043c323187,2022-04-29T21:14:21Z,0,There is a fine line between heavy metal Paul Simon covers and opera,865a96b9d08349d3972fdfc209031588
spotify:track:1DgMJfHxwxypi3CpC8veV3,53954cca040b418fbc8f42043c323187,2022-04-29T21:14:21Z,3,,865a96b9d08349d3972fdfc209031588
spotify:track:2DMZ7rhk2LZvP6Gy8vthH5,53954cca040b418fbc8f42043c323187,2022-04-29T21:14:21Z,1,This was really great. What’s with the backticks in the band name? ,865a96b9d08349d3972fdfc209031588
spotify:track:2SWn864dJI5RNyrp3F4Kp1,53954cca040b418fbc8f42043c323187,2022-04-29T21:14:21Z,3,,865a96b9d08349d3972fdfc209031588
spotify:track:7az05FAMuX2E4vWo3gQoPS,53954cca040b418fbc8f42043c323187,2022-04-29T21:14:21Z,1,,865a96b9d08349d3972fdfc209031588
spotify:track:7EIETgqBk63OdvVyIFDNKx,53954cca040b418fbc8f42043c323187,2022-04-29T21:14:21Z,2,He could probably convince me that Paul McCartney stole this song from him,865a96b9d08349d3972fdfc209031588
spotify:track:1Cj2vqUwlJVG27gJrun92y,2e01487d2bb343f58250b8359dbd8790,2022-04-30T18:06:53Z,3,,865a96b9d08349d3972fdfc209031588
spotify:track:41q8ZiB3LZl4HRmmzUTIo4,2e01487d2bb343f58250b8359dbd8790,2022-04-30T18:06:53Z,4,A good time,865a96b9d08349d3972fdfc209031588
spotify:track:7az05FAMuX2E4vWo3gQoPS,2e01487d2bb343f58250b8359dbd8790,2022-04-30T18:06:53Z,2,,865a96b9d08349d3972fdfc209031588
spotify:track:7EIETgqBk63OdvVyIFDNKx,2e01487d2bb343f58250b8359dbd8790,2022-04-30T18:06:53Z,1,,865a96b9d08349d3972fdfc209031588
spotify:track:2SWn864dJI5RNyrp3F4Kp1,dd77ebc3b461474daa9e9b43c4377cd5,2022-05-01T17:18:51Z,3,,865a96b9d08349d3972fdfc209031588
spotify:track:41q8ZiB3LZl4HRmmzUTIo4,dd77ebc3b461474daa9e9b43c4377cd5,2022-05-01T17:18:51Z,2,,865a96b9d08349d3972fdfc209031588
spotify:track:62Yu8QL1g9pdbvN4XL9Rah,dd77ebc3b461474daa9e9b43c4377cd5,2022-05-01T17:18:51Z,1,,865a96b9d08349d3972fdfc209031588
spotify:track:7az05FAMuX2E4vWo3gQoPS,dd77ebc3b461474daa9e9b43c4377cd5,2022-05-01T17:18:51Z,1,,865a96b9d08349d3972fdfc209031588
spotify:track:7EIETgqBk63OdvVyIFDNKx,dd77ebc3b461474daa9e9b43c4377cd5,2022-05-01T17:18:51Z,3,,865a96b9d08349d3972fdfc209031588
spotify:track:1Cj2vqUwlJVG27gJrun92y,d4d873667860433b9e0feec8ef6f1b3d,2022-05-02T02:12:08Z,1,,865a96b9d08349d3972fdfc209031588
spotify:track:1DgMJfHxwxypi3CpC8veV3,d4d873667860433b9e0feec8ef6f1b3d,2022-05-02T02:12:08Z,1,,865a96b9d08349d3972fdfc209031588
spotify:track:2DMZ7rhk2LZvP6Gy8vthH5,d4d873667860433b9e0feec8ef6f1b3d,2022-05-02T02:12:08Z,1,,865a96b9d08349d3972fdfc209031588
spotify:track:2es17WUR55CXoDIcKtT0eZ,d4d873667860433b9e0feec8ef6f1b3d,2022-05-02T02:12:08Z,1,,865a96b9d08349d3972fdfc209031588
spotify:track:2SWn864dJI5RNyrp3F4Kp1,d4d873667860433b9e0feec8ef6f1b3d,2022-05-02T02:12:08Z,1,,865a96b9d08349d3972fdfc209031588
