Spotify URI,Voter ID,Created,Points Assigned,Comment,Round ID
spotify:track:0aLx2oyqTSgqeLGEoTIFP9,45aed3c10e8c45c98b4a63680e9da7b7,2022-08-07T22:53:51Z,0,"This was nice, but I don’t have enough points. ",3a5b893d32444211a727a7bc87fbdb26
spotify:track:0iF2k99DJgFbPmsUQUFbtm,45aed3c10e8c45c98b4a63680e9da7b7,2022-08-07T22:53:51Z,1,"This did make me happy, but I’m not usually a fan of Ingrid. ",3a5b893d32444211a727a7bc87fbdb26
spotify:track:1mCsF9Tw4AkIZOjvZbZZdT,45aed3c10e8c45c98b4a63680e9da7b7,2022-08-07T22:53:51Z,3,Go lil inchworm,3a5b893d32444211a727a7bc87fbdb26
spotify:track:1n49y0FO1k1ymNlGsWFk4i,45aed3c10e8c45c98b4a63680e9da7b7,2022-08-07T22:53:51Z,0,This song is bien bien bien,3a5b893d32444211a727a7bc87fbdb26
spotify:track:4OHIIZHytQRtATug0Abpaa,45aed3c10e8c45c98b4a63680e9da7b7,2022-08-07T22:53:51Z,1,What a bunch of weirdos. But they are nice weirdos. ,3a5b893d32444211a727a7bc87fbdb26
spotify:track:4RQgqR09VmHn345vRhKQ6T,45aed3c10e8c45c98b4a63680e9da7b7,2022-08-07T22:53:51Z,4,Heck yeah. Always a classic. ,3a5b893d32444211a727a7bc87fbdb26
spotify:track:51kGrYMKum18UsxfaXvsLg,45aed3c10e8c45c98b4a63680e9da7b7,2022-08-07T22:53:51Z,1,"I don’t speak Spanish, but I like this song quite a bit. ",3a5b893d32444211a727a7bc87fbdb26
spotify:track:5hNz4huOvrtoURoic7sx1d,45aed3c10e8c45c98b4a63680e9da7b7,2022-08-07T22:53:51Z,2,"Ok, all right, have some points. ",3a5b893d32444211a727a7bc87fbdb26
spotify:track:0aLx2oyqTSgqeLGEoTIFP9,3632dbc7e55d4e3380f090997355e7ae,2022-08-09T05:32:58Z,2,Another new-to-me song that I really like. ,3a5b893d32444211a727a7bc87fbdb26
spotify:track:0iF2k99DJgFbPmsUQUFbtm,3632dbc7e55d4e3380f090997355e7ae,2022-08-09T05:32:58Z,1,Great fun. I like it. ,3a5b893d32444211a727a7bc87fbdb26
spotify:track:1mCsF9Tw4AkIZOjvZbZZdT,3632dbc7e55d4e3380f090997355e7ae,2022-08-09T05:32:58Z,1,I like this even more now than I did back in the old days. ,3a5b893d32444211a727a7bc87fbdb26
spotify:track:1n49y0FO1k1ymNlGsWFk4i,3632dbc7e55d4e3380f090997355e7ae,2022-08-09T05:32:58Z,2,I can see why this song was in high demand among submitters. ,3a5b893d32444211a727a7bc87fbdb26
spotify:track:4OHIIZHytQRtATug0Abpaa,3632dbc7e55d4e3380f090997355e7ae,2022-08-09T05:32:58Z,1,Classic David Byrne. Screaming and all. ,3a5b893d32444211a727a7bc87fbdb26
spotify:track:4RQgqR09VmHn345vRhKQ6T,3632dbc7e55d4e3380f090997355e7ae,2022-08-09T05:32:58Z,2,This is on my list of all-time favorites. ,3a5b893d32444211a727a7bc87fbdb26
spotify:track:5hNz4huOvrtoURoic7sx1d,3632dbc7e55d4e3380f090997355e7ae,2022-08-09T05:32:58Z,2,I dig the rhythm. ,3a5b893d32444211a727a7bc87fbdb26
spotify:track:6M14BiCN00nOsba4JaYsHW,3632dbc7e55d4e3380f090997355e7ae,2022-08-09T05:32:58Z,1,"If I had the points, I would award more to all the songs on the list, beginning with this one. 

",3a5b893d32444211a727a7bc87fbdb26
spotify:track:1mCsF9Tw4AkIZOjvZbZZdT,53954cca040b418fbc8f42043c323187,2022-08-09T16:35:37Z,1,,3a5b893d32444211a727a7bc87fbdb26
spotify:track:4OHIIZHytQRtATug0Abpaa,53954cca040b418fbc8f42043c323187,2022-08-09T16:35:37Z,3,,3a5b893d32444211a727a7bc87fbdb26
spotify:track:4RQgqR09VmHn345vRhKQ6T,53954cca040b418fbc8f42043c323187,2022-08-09T16:35:37Z,4,,3a5b893d32444211a727a7bc87fbdb26
spotify:track:51kGrYMKum18UsxfaXvsLg,53954cca040b418fbc8f42043c323187,2022-08-09T16:35:37Z,3,One of the all time great happy music artists ,3a5b893d32444211a727a7bc87fbdb26
spotify:track:6M14BiCN00nOsba4JaYsHW,53954cca040b418fbc8f42043c323187,2022-08-09T16:35:37Z,1,,3a5b893d32444211a727a7bc87fbdb26
spotify:track:0aLx2oyqTSgqeLGEoTIFP9,2e01487d2bb343f58250b8359dbd8790,2022-08-09T21:01:59Z,2,"Ah, the Vulfpeck trinity",3a5b893d32444211a727a7bc87fbdb26
spotify:track:4OHIIZHytQRtATug0Abpaa,2e01487d2bb343f58250b8359dbd8790,2022-08-09T21:01:59Z,0,A Talking Heads revival I see,3a5b893d32444211a727a7bc87fbdb26
spotify:track:4RQgqR09VmHn345vRhKQ6T,2e01487d2bb343f58250b8359dbd8790,2022-08-09T21:01:59Z,4,"Jared submitted this for some other round, but boy howdy is it a banger ",3a5b893d32444211a727a7bc87fbdb26
spotify:track:5hNz4huOvrtoURoic7sx1d,2e01487d2bb343f58250b8359dbd8790,2022-08-09T21:01:59Z,1,Good ole David,3a5b893d32444211a727a7bc87fbdb26
spotify:track:6M14BiCN00nOsba4JaYsHW,2e01487d2bb343f58250b8359dbd8790,2022-08-09T21:01:59Z,5,A very fun song (and perfect for my listening at the ocean),3a5b893d32444211a727a7bc87fbdb26
spotify:track:0aLx2oyqTSgqeLGEoTIFP9,6d7e96d013a845369bf8f206bfb7c773,2022-08-09T22:24:51Z,1,,3a5b893d32444211a727a7bc87fbdb26
spotify:track:0iF2k99DJgFbPmsUQUFbtm,6d7e96d013a845369bf8f206bfb7c773,2022-08-09T22:24:51Z,1,,3a5b893d32444211a727a7bc87fbdb26
spotify:track:1mCsF9Tw4AkIZOjvZbZZdT,6d7e96d013a845369bf8f206bfb7c773,2022-08-09T22:24:51Z,2,,3a5b893d32444211a727a7bc87fbdb26
spotify:track:4OHIIZHytQRtATug0Abpaa,6d7e96d013a845369bf8f206bfb7c773,2022-08-09T22:24:51Z,1,,3a5b893d32444211a727a7bc87fbdb26
spotify:track:4RQgqR09VmHn345vRhKQ6T,6d7e96d013a845369bf8f206bfb7c773,2022-08-09T22:24:51Z,3,,3a5b893d32444211a727a7bc87fbdb26
spotify:track:51kGrYMKum18UsxfaXvsLg,6d7e96d013a845369bf8f206bfb7c773,2022-08-09T22:24:51Z,2,,3a5b893d32444211a727a7bc87fbdb26
spotify:track:5hNz4huOvrtoURoic7sx1d,6d7e96d013a845369bf8f206bfb7c773,2022-08-09T22:24:51Z,1,,3a5b893d32444211a727a7bc87fbdb26
spotify:track:6M14BiCN00nOsba4JaYsHW,6d7e96d013a845369bf8f206bfb7c773,2022-08-09T22:24:51Z,1,,3a5b893d32444211a727a7bc87fbdb26
spotify:track:0aLx2oyqTSgqeLGEoTIFP9,d4d873667860433b9e0feec8ef6f1b3d,2022-08-10T01:48:53Z,1,I like this upbeat number. ,3a5b893d32444211a727a7bc87fbdb26
spotify:track:0iF2k99DJgFbPmsUQUFbtm,d4d873667860433b9e0feec8ef6f1b3d,2022-08-10T01:48:53Z,1,Peppy jolly fun.,3a5b893d32444211a727a7bc87fbdb26
